№;Производитель;Наименование поставщика;Контактное лицо;Адрес производства;Основная продукция;Продукция;Комментарий;Сайт;Latitude;Longitude
11;Да;ЖБК Мосбетон;"7 495-070-01-05 Максим
7 903-010-05-46 
sales@gbimosbeton.ru
mgv@gbkmosbeton.ru";Московская область, г. Наро-Фоминск, ул. Тургеневский тупик д.3;Индивидуалка;"Колонны
Цокольные панели
Фундаменты
Стаканы 
Балки";"В нашем ассортименте вы найдете разнообразие ЖБИ изделий, таких как фундаментные блоки, столбы, плиты и многое другое. Независимо от размера или сложности вашего проекта, мы готовы предложить вам оптимальное решение, которое соответствует всем вашим требованиям.

Мы также готовы предложить индивидуальные решения, адаптированные под ваши конкретные потребности. Наша высокая гибкость и понимание особенностей каждого проекта позволяют нам разработать и изготовить изделия, которые идеально сочетаются с вашими планами и требованиями.";https://gbimosbeton.ru/;55.367679;36.711999
12;Да;ЗСК;"8-910-110-53-55 Константин
order@line-gbi.ru
s8900880@gmail.com 
ask@line-gbi.ru

8-903-890-08-80 Беседин Сергей";Смоленская область, г. Сафоново, ул.Советская 53;Лотки;"Звенья
Портальные стенки
Откосные стенки
Блоки фундамента
Плиты фундамента
Фундаментный блок
Фундаментная плита
Фундаменты
Трубы
Лекальные блоки
Лотки телескопические
ТПФЭ
Опоры
Блоки упора
Ригели
ВП, ВС
Коллекторы
НКЛ
Лотки Л
Плиты П
Лотки ЛК
Плиты ПТ
ПО
ФБС";Звенья, Портальные стенки, Откосные стенки, Блоки фундамента, Плиты фундамента, Фундаментная плита, Фундаменты, Трубы, Лекальные блоки, Прикромочные лотки, ТПФЭ, Опоры, Блоки упора, Ригели, ВП, ВС, Коллекторы, НКЛ, Лотки Л, Плиты П, Лотки ЛК, Плиты ПТ, ПО, ФБС;https://line-gbi.ru/;55.118555;33.227200
13;Да;Славбетонстрой;"Алена 89043657263
slav.beton@mail.ru beton.st@gmail.com";Смоленская обл, г. Сафоново, ул. Октябрьская, д. 80А;Лотки;"Лотки Л
Плиты П
Лотки ЛК
Плиты ПТ
Инженерка
ППЛ
ВП
Балки Б
Перемычки
Лотки электротехнические
Забор ПО-2";Лотки Л, Плиты П, Лотки ЛК, Плиты ПТ, Инженерка, ППЛ, ВП, Балки Б, Перемычки, Лотки УБК, Забор ПО-2;https://slav-beton.ru/;55.089022;33.242543
14;Да;ЖБИ Торг;"8-900-227-19-96 Дмитрий
dmitry_smp@mail.ru
8-900-227-19-67 Максим
orlov_ms@mail.ru";Смоленская обл., г. Сафоново, ул. Горняцкая, д. 18, стр. 14;Инженерка;"Инженерка
ВП, ВС
ККСр
ПАГ-14
ПДН
НКЛ
Коллекторы
ФБС
Опоры ЛЭП
Лотки Л
Плиты П
Лотки ЛК
Плиты ПТ";Инженерка, ВП, ВС, ККСр, ПАГ-14, ПДН, НКЛ, Коллекторы, ФБС, Опоры СВ, Лотки Л, Плиты П, Лотки ЛК, Плиты ПТ;https://zhbipro.ru/;55.127559;33.216663
15;Да;ЖБИ-Комплект, ИП Бочков;"Николай 89621954958
safonovoskv@mail.ru Бочков";Смоленская область, г. Сафоново, ул. Радищева, д.6, стр.2;Инженерка;"ФБС
ФБС усеченные
Чугунина
Инженерка
Дорожка
ВП
Укрепления откосов
Бордюр
Фундаменты ограждения
Башмак";ФБС, ФБС усееченные, Чугунина, Инженерка, Дорожка, ВП, Лотки МШЛ, МПЛ, Укрепления откосов, Бордюр, Фундаменты ограждения, Башмак;https://www.gbi-safonovo.ru/;55.115960;33.216807
16;Да;Кольцо;"8-904-362-57-58 Никита (по машинам)
kolco-01@yandex.ru
8-910-784-79-64 Юра 
(по наличию и цене)";Смоленская область, г. Гагарин, ул. Смоленская, дом 54;Инженерка;"Инженерка
ОПКС
ФБС
ВП, В";Инженерка, ОПКС, ФБС, ВП, В;https://koltso67.ru/;55.531728;34.985455
17;Да;АРС Строй;"8-904-362-27-70 Виолетта(документы)
8-962-191-32-06 Надежда(основной)
8-904-362-24-65 Виктория
gbigbi2018@mail.ru";Смоленская область, г. Сафоново, ул. Кутузова, д. 11;Инженерка;"Инженерка
ППЛ
ВС";;http://ars-beton.ru/;55.105547;33.265109
18;Нет;ПроЖБИ;"8(495)104-41-33
progbi@gmail.com";Московская обл., пос. Томилино., ул. Гоголя 39/1;Инженерка;Инженерка;;https://www.progbi.ru/;55.666376;37.947730


